"","inv_ctry","tech_group","total_inventors","female_inventors","female_share_inventors","total_graduates","female_graduates","female_share_graduates","stem_fields","country"
"136","PL","Electrical Engineering",646,25,0.0387,"292276","125767",0.4303,"F05, F06, F07","Poland"
"137","PL","Instruments",323,21,0.065,"292276","125767",0.4303,"F05, F06, F07","Poland"
"138","PL","Mechanical Engineering",304,16,0.0526,"292276","125767",0.4303,"F05, F06, F07","Poland"
"139","PL","Other Fields",79,1,0.0127,"292276","125767",0.4303,"F05, F06, F07","Poland"
"140","PT","Chemistry",358,117,0.3268,"56246","23705",0.4215,"F05, F06, F07","Portugal"
"141","PT","Electrical Engineering",205,19,0.0927,"56246","23705",0.4215,"F05, F06, F07","Portugal"
"142","PT","Instruments",160,14,0.0875,"56246","23705",0.4215,"F05, F06, F07","Portugal"
"143","PT","Mechanical Engineering",88,9,0.1023,"56246","23705",0.4215,"F05, F06, F07","Portugal"
"144","RU","Chemistry",1554,314,0.2021,"1179196","387931",0.329,"F05, F06, F07","Russia"
"145","RU","Electrical Engineering",2068,106,0.0513,"1179196","387931",0.329,"F05, F06, F07","Russia"
"146","RU","Instruments",956,70,0.0732,"1179196","387931",0.329,"F05, F06, F07","Russia"
"147","RU","Mechanical Engineering",480,20,0.0417,"1179196","387931",0.329,"F05, F06, F07","Russia"
"148","RU","Other Fields",251,24,0.0956,"1179196","387931",0.329,"F05, F06, F07","Russia"
"149","SE","Chemistry",5684,1000,0.1759,"32761","11114",0.3392,"F05, F06, F07","Sweden"
"150","SE","Electrical Engineering",11158,606,0.0543,"32761","11114",0.3392,"F05, F06, F07","Sweden"
"151","SE","Instruments",4960,550,0.1109,"32761","11114",0.3392,"F05, F06, F07","Sweden"
"152","SE","Mechanical Engineering",5472,285,0.0521,"32761","11114",0.3392,"F05, F06, F07","Sweden"
"153","SE","Other Fields",1072,43,0.0401,"32761","11114",0.3392,"F05, F06, F07","Sweden"
"154","SI","Chemistry",254,80,0.315,"5269","1939",0.368,"F05, F06, F07","Slovenia"
"155","SI","Electrical Engineering",129,11,0.0853,"5269","1939",0.368,"F05, F06, F07","Slovenia"
